Team1Name,Team1Score,Team2Name,Team2Score,Team1MasseyRating,Team2MasseyRating
Baylor,78,Washington,69,15.872210600276453,15.817584011338012
Bowling Green,83,Le Moyne,60,3.589447698727336,-9.839160736172351
Campbell,91,W Michigan,82,-4.608704820965019,-7.971093026343999
Colorado St,97,NE Omaha,74,8.035917066741126,-6.6809771450146105
CS Northridge,93,North Dakota,85,-2.1109082342198446,-8.39620613812819
Denver,75,Montana St,73,-6.718963056154548,1.0473895970912468
Georgia,120,Morehead St,81,20.02973847054447,-11.585204401367001
Grambling,73,Howard,70,-10.144108684165358,-8.060038874832856
Harvard,86,New Hampshire,75,-1.9259472947129983,-12.508359622828568
Hawaii,100,East Texas A&M,74,8.020968123203241,-10.24868267858815
Illinois St,76,Cornell,65,8.933861719167899,-2.5897361889852073
Indiana,100,Marquette,77,18.87384006863379,6.499579672447203
James Madison,84,Coppin St,70,-6.42260170209562,-27.640739737591698
Liberty,88,FL Atlantic,68,5.976024139614131,6.351804649646517
Marist,75,Dartmouth,56,-1.1747337528313329,-5.458928015720884
Mercer,92,Lipscomb,77,0.5840288415363489,-2.2704298007365584
Missouri,106,VMI,68,11.56899502860914,-19.385486784833247
North Texas,64,Loyola-Chicago,62,0.7410214367989679,-7.919700317024193
Northern Iowa,65,S Dakota St,58,5.785582448008606,-1.4024499716884644
Oklahoma St,87,Texas A&M,63,13.86708154452552,19.179102352686098
Portland,67,UC Davis,63,-0.9276049727698782,-0.8434486910801374
San Diego St,73,Idaho St,57,14.954913190967044,-2.6900359146858124
South Carolina,83,Southern Miss,79,8.258663769478087,-6.948449734643707
USC,114,Manhattan,83,13.985005389761836,-15.274581333554556
Vermont,89,Brown,84,-5.418090561445725,-9.277418865214003
West Virginia,69,Lehigh,47,12.114842312208815,-10.370556306684765
California,93,CS Fullerton,65,13.447545319841446,-2.1915793640363734
Charleston So,96,Citadel,86,-6.340856798534731,-15.588927891729995
Connecticut,89,Columbia,62,25.10729111927154,-1.1455860463245808
Georgia Tech,70,SE Louisiana,60,4.81995930743693,-8.378711089435738
Grand Canyon,88,N Illinois,59,11.357472832207115,-10.69931700103686
Indiana St,64,SIUE,55,-2.4581456880249015,-8.17415727893679
Iowa St,96,Mississippi St,80,28.277104289911488,8.973566181550307
Kent,86,UNC Wilmington,77,1.3438007614795435,2.413830183033299
LSU,93,New Orleans,58,14.712317974153333,-3.575655046476065
Miami FL,102,Stetson,61,17.78517891833293,-14.070523158103668
NC A&T,85,S Carolina St,62,-8.135106985044182,-22.2908843957574
Niagara,68,Delaware St,57,-16.995194255109116,-20.10207053375217
Northwestern,110,Cleveland St,63,11.78237952913321,-10.736414013574178
Pittsburgh,78,E Michigan,66,8.195075774872146,-3.580139516277849
Presbyterian,63,Georgia St,61,-8.171853518367254,-9.841027531814934
Rutgers,72,Maine,60,2.795178359596027,-16.277077360329795
Santa Clara,87,Xavier,68,16.697031882728538,7.778365709841898
Seton Hall,82,Fairfield,59,13.61217858159576,-8.368082465442098
St Louis,109,Lindenwood,66,21.74212133595362,-7.15310794555327
TCU,78,Lamar,65,14.466735878512502,-2.214271862878108
UCLA,83,West Georgia,62,17.20134853209326,-11.903771564516768
Utah,87,Holy Cross,69,6.364077339194109,-13.04688731791795
WKU,87,E Kentucky,79,0.4252617180430557,-8.312055999179629
Washington St,81,St Thomas MN,71,4.5380550036221035,2.882581967815671
WI Milwaukee,92,Ark Little Rock,72,-6.744387041618924,-13.722529134725532
New Haven,73,MA Lowell,67,-14.029552843602488,-14.238798983700297
Alabama St,77,UAB,74,-13.932727716177093,4.233612921761928
Arizona,84,Northern Arizona,49,29.622564216561056,-9.643076515343548
Arkansas,93,Cent Arkansas,56,21.77145836677927,-1.5873241521362738
Arkansas St,86,Missouri St,85,-2.643647731191786,-2.3667315699870506
Auburn,93,Wofford,62,19.144250770747117,-5.064308768836391
Boise St,85,UTRGV,65,13.415037567503262,-0.22814271103413875
Buffalo,66,DePaul,53,-1.2829899801500664,7.564957311061451
Butler,98,Chicago St,66,12.436267405379676,-16.24969652612226
BYU,85,Delaware,68,22.96623370113013,-8.317869143575352
Central Conn,60,Boston College,59,-10.69680210540559,3.54890302348592
Cincinnati,74,Dayton,62,12.416982907123183,7.453720484555427
Clemson,83,Morehead St,56,17.882590338253785,-11.585204401367001
Coastal Car,72,Winthrop,66,-7.357081216042199,1.3368316881639872
Colgate,90,Drexel,83,-3.5300665357659207,-3.932084854527281
CS Bakersfield,74,W Illinois,58,-10.961124093729158,-21.1486742641898
Davidson,62,Charlotte,55,6.002686977751972,1.2042231354891468
Duke,114,Army,59,30.47631292494664,-14.42534764296668
Duquesne,87,Queens NC,81,4.686016814942015,-4.175091457795946
Florida,78,Florida St,76,26.39081761428366,8.465280031603305
Fordham,63,Wagner,61,-0.05904195752884017,-12.601506934083272
Ga Southern,95,FGCU,94,-8.452463657169565,-4.349217773076286
Gonzaga,90,Creighton,63,26.12679094319873,10.984102719717837
High Point,85,Jacksonville,64,7.455157949413491,-10.526145762510124
Illinois,81,Texas Tech,77,27.558451754312838,22.11626746517065
Iona,105,Missouri KC,91,-5.622253380566301,-16.661368094073026
Kansas,77,TAM C. Christi,46,23.957485614866563,-2.5860191794207728
LIU Brooklyn,76,Air Force,72,-3.546335998209576,-12.735240615401642
Louisville,96,Kentucky,88,24.611732488445927,20.62694485238151
Loy Marymount,71,UTEP,58,1.5500504379175963,-6.308444347027473
Maryland,84,Alcorn St,64,2.5510536362520244,-20.10652752334088
Michigan,85,Wake Forest,84,34.00895201746655,12.26856625050307
