Team,Wins,Losses,WL%,TEAM Total Points,TEAM Red Zone Scores,TEAM Red Zone Attempts,TEAM Scoring Points/Game,TEAM PAT Kicking Attempts,TEAM PAT Kicking Made,OPP Scoring Points/Game,TEAM Total Offense Yards,TEAM First Downs Total,Turnover margin,TEAM Total Offense Plays,TEAM Passing Rating,TEAM Rushing TD,OPP Passing Rating,OPP Total Points,OPP Total Offense Yards / Play,TEAM 3rd Down Conversions,OPP Passing Attempts,TEAM Total Offense Yards / Play,OPP Passing Interceptions,TEAM Interceptions Returns,OPP Passing Yards per Attempt,OPP 3rd Down Conversions Attempts,TEAM 3rd Down Conversion %,OPP Rushing TD,TEAM First Downs Rushing,OPP Red Zone Scores,TEAM Rushing Yards,OPP 4th Down Conversions Attempts,OPP Rushing Yards / Attempt,TEAM Passing Yards per Attempt,OPP Punting Yards,OPP Punting Punts,TEAM Rushing Attempts,TEAM Passing TD,OPP Red Zone Success %,OPP Fumbles Number,OPP Rushing Yards,OPP Red Zone Attempts,OPP Total Offense Plays,TEAM Rushing Yards / Attempt,TEAM 4th Down Conversion %,OPP 3rd Down Conversion %,TEAM First Downs Passing,TEAM Passing Yards,OPP Passing Completions,OPP Fumbles Lost,TEAM Passing Interceptions,OPP Interceptions Returns,TEAM Field Goals Attempts,TEAM Punt Returns Returns,TEAM Field Goals Made,OPP Passing TD,TEAM Punting Punts,OPP 4th Down Conversion %,TEAM Punting Yards,OPP Punt Returns Returns,TEAM Interceptions Yards,OPP First Downs Rushing,TEAM 3rd Down Conversions Attempts,TEAM Red Zone Success %,OPP 4th Down Conversions,TEAM Punt Returns Yards,TEAM Time of Possession,TEAM Passing Completions,TEAM Kickoff Returns Returns,OPP Total Offense Yards,OPP Time of Possession,OPP Punt Returns Yards,TEAM Interceptions TD,OPP Kickoff Returns Returns,OPP Penalties Number,OPP Kickoff Returns Yards / Return,OPP Interceptions TD,TEAM Kickoff Returns Yards,OPP Kickoff Returns Yards,TEAM Passing Attempts,OPP Interceptions Yards,TEAM 4th Down Conversions,TEAM Fumbles Number,TEAM Fumbles Lost,OPP First Downs By Penalty,TEAM Penalties Yards,OPP First Downs Total,OPP Punting Yards / Punt,OPP First Downs Passing,TEAM 4th Down Conversions Attempts,TEAM Punt Returns Yards / Return,TEAM Penalties Number,TEAM PAT Kicking Success %,TEAM Kickoff Returns TD,OPP Penalties Yards,OPP Field Goals Made,TEAM Field Goals Success %,OPP Passing Yards,OPP PAT Kicking Success %,OPP Field Goals Attempts,TEAM First Downs By Penalty,TEAM Kickoff Returns Yards / Return,OPP Kickoff Returns TD,OPP Field Goals Success %,TEAM Punting Yards / Punt,OPP 3rd Down Conversions,OPP Punt Returns TD,TEAM Punt Returns TD,OPP Rushing Attempts,OPP Punt Returns Yards / Return
Army,12,2,0.8571428571428571,435,50,55,31.1,55,55,15.5,5335,292,11,886,152.26,48,121.5,217,5.33,82,402,6.02,18,18,6.475124378109452,162,0.4852,12,230,24,4207,40,4.12,9.245901639344263,1590,38,764,10,0.6,13,1568,40,783,5.51,0.775,0.41359999999999997,44,1128,253,2,4,4,12,9,10,16,25,0.425,1000,10,170,98,169,0.9091,17,38,2079.36,66,14,4171,1461.29,44,0,39,64,21.13,0,154,824,122,25,31,14,5,13,441,229,41.84,118,40,4.22,45,1.0,0,567,7,0.833,2603,1.0,11,18,11.0,0,0.636,40.0,67,0,0,381,4.4
Charlotte,5,7,0.4166666666666667,284,28,31,23.7,30,30,35.1,4094,206,-9,743,121.16,16,137.04,421,6.29,47,343,5.51,10,10,7.795918367346939,153,0.3072,29,77,42,1405,24,5.23,7.61756373937677,1663,40,390,16,0.75,9,2524,56,826,3.6,0.4167,0.4183,104,2689,206,2,14,14,16,14,16,18,55,0.5417000000000001,2348,10,94,138,153,0.9031999999999999,13,48,1717.25,177,39,5198,1882.08,84,1,15,79,27.67,5,834,415,353,234,10,15,7,29,784,277,41.58,110,24,3.43,93,1.0,0,682,15,1.0,2674,0.9620000000000001,23,25,21.38,1,0.652,42.69,64,0,0,483,8.4
East Carolina,8,5,0.6153846153846154,416,37,49,32.0,46,42,27.3,5673,286,-8,899,136.94,23,132.51,355,5.44,83,425,6.31,14,14,7.197647058823529,203,0.4511,21,113,35,2241,35,4.07,8.018691588785046,2535,60,471,26,0.7447,15,2208,47,968,4.76,0.5556,0.39409999999999995,151,3432,255,8,23,23,21,24,16,24,52,0.4571,2123,12,204,112,184,0.7551000000000001,16,153,1520.31,258,31,5267,2079.77,77,3,39,90,19.56,2,705,763,428,292,10,21,7,28,827,275,42.25,135,18,6.38,99,0.9129999999999999,1,791,9,0.762,3059,0.978,15,22,22.74,0,0.6,40.83,80,0,0,543,6.42
Florida Atlantic,3,9,0.25,311,30,42,25.9,39,39,30.3,4771,234,0,808,125.55,24,134.01,363,6.04,55,378,5.9,11,11,7.402116402116402,162,0.3481,18,102,35,2268,23,4.89,7.151428571428571,1949,44,458,14,0.7955,14,2202,44,828,4.95,0.4706,0.3704,112,2503,211,7,11,11,18,14,10,25,49,0.6522,2110,21,256,112,158,0.7143,15,71,1822.58,205,21,5000,1775.75,106,1,11,72,25.18,0,391,277,350,83,16,12,7,23,619,252,44.3,117,34,5.07,79,1.0,0,630,18,0.556,2798,1.0,25,20,18.62,0,0.72,43.06,60,0,0,450,5.05
Memphis,11,2,0.8461538461538461,464,54,61,35.7,53,51,23.8,5779,300,18,927,141.09,33,129.19,310,5.83,82,457,6.23,11,11,7.326039387308534,177,0.4607,21,122,35,2263,28,3.96,7.340292275574113,2352,56,448,25,0.875,26,1453,40,824,5.05,0.5217,0.38420000000000004,150,3516,275,15,6,6,26,14,17,17,47,0.6071,2043,9,138,71,178,0.8852,17,173,1993.85,310,13,4801,1606.0,54,0,5,77,17.8,1,225,89,479,91,12,7,2,22,624,225,42.0,132,23,12.36,69,0.9620000000000001,0,602,13,0.654,3348,1.0,15,28,17.31,0,0.867,43.47,68,0,0,367,6.0
Navy,10,3,0.7692307692307693,407,37,42,31.3,54,50,22.2,4827,221,10,771,151.77,38,123.73,288,5.38,62,405,6.26,17,17,6.832098765432098,189,0.3851,17,148,30,3218,37,4.17,8.988826815642458,2019,49,592,15,0.6977,20,2029,43,892,5.44,0.625,0.418,62,1609,240,7,6,6,9,14,5,19,57,0.4865,2606,29,329,116,161,0.8809999999999999,18,65,1806.23,99,22,4796,1793.38,248,3,44,78,18.2,0,454,801,179,25,15,19,8,21,585,256,41.2,119,24,4.64,66,0.9259999999999999,0,638,10,0.556,2767,0.968,15,11,20.64,0,0.667,45.72,79,0,0,487,8.55
North Texas,6,7,0.46153846153846156,436,42,56,33.5,55,55,34.2,6355,309,-6,946,140.99,24,141.76,444,6.17,66,426,6.72,11,11,8.075117370892018,196,0.36869999999999997,28,87,49,2088,29,4.68,7.592526690391459,2270,56,384,33,0.875,7,2547,56,970,5.44,0.47729999999999995,0.4031,188,4267,261,5,14,14,16,16,11,23,47,0.4483,1928,6,146,132,179,0.75,13,154,1607.0,353,28,5987,1992.38,8,0,20,91,16.0,2,601,320,562,236,21,14,8,24,773,299,40.54,143,44,9.63,91,1.0,0,830,23,0.688,3440,0.9790000000000001,26,34,21.46,1,0.885,41.02,79,0,1,544,1.33
Rice,4,8,0.3333333333333333,266,27,41,22.2,29,28,25.4,4235,220,-10,779,117.99,14,122.66,305,5.04,58,325,5.44,8,8,6.418461538461538,176,0.3515,17,74,26,1367,19,4.09,6.0,2833,68,301,17,0.8667,14,1927,30,796,4.54,0.35,0.3807,125,2868,180,4,13,13,19,29,12,18,63,0.5263,2529,13,72,109,165,0.6585,10,223,1721.5,293,27,4013,1878.33,113,1,10,74,26.5,2,708,265,478,186,7,19,9,19,689,214,41.66,86,20,7.69,85,0.966,1,708,11,0.632,2086,0.973,15,21,26.22,0,0.733,40.14,67,1,0,471,8.69
South Florida,7,6,0.5384615384615384,418,44,51,32.2,50,49,29.8,5300,265,7,935,122.62,34,134.45,387,5.79,77,471,5.67,12,12,7.694267515923567,194,0.39490000000000003,25,106,40,2343,30,4.03,6.6749435665914225,2939,67,492,16,0.7843000000000001,22,2056,51,981,4.76,0.5556,0.3454,130,2957,277,13,10,10,21,28,15,23,70,0.5,3178,13,132,110,195,0.8626999999999999,15,300,1507.62,262,20,5680,2091.85,58,1,31,110,23.71,0,445,735,443,142,15,15,8,35,922,295,43.87,150,27,10.71,105,0.98,1,951,13,0.7140000000000001,3624,1.0,19,29,22.25,0,0.684,45.4,67,0,0,510,4.46
Temple,3,9,0.25,235,24,33,19.6,21,21,35.4,3705,187,-10,797,117.9,10,131.29,425,6.09,59,333,4.65,9,9,6.906906906906907,164,0.3207,30,55,40,1113,21,5.54,6.306569343065694,2489,62,386,16,0.8511,13,2713,47,823,2.88,0.4167,0.36590000000000006,116,2592,196,6,14,14,22,13,16,20,75,0.4286,3035,10,79,120,184,0.7273000000000001,9,79,1812.0,242,36,5013,1785.75,57,0,12,65,25.0,2,673,300,411,136,10,17,11,19,541,240,40.15,101,24,6.08,67,1.0,0,565,12,0.727,2300,0.98,16,16,18.69,1,0.75,40.47,60,0,1,490,5.7
Tulane,9,5,0.6428571428571429,491,56,65,35.1,62,58,20.6,5670,291,7,896,157.37,32,113.59,289,5.27,86,404,6.33,14,14,6.158415841584159,176,0.5029,20,147,37,2739,29,4.48,8.908814589665653,2489,60,567,25,0.8409,17,2041,44,860,4.83,0.4545,0.3295,119,2931,235,8,9,9,18,12,13,13,42,0.4138,1796,9,245,102,171,0.8615,12,61,1933.21,207,29,4529,1666.79,84,5,23,80,20.48,0,696,471,329,28,10,13,6,27,701,244,41.48,115,22,5.08,86,0.935,2,653,18,0.722,2488,1.0,20,25,24.0,0,0.9,42.76,58,0,0,456,9.33
Tulsa,3,9,0.25,300,27,38,25.0,35,34,42.5,4676,247,-6,889,123.38,11,173.47,510,7.07,72,396,5.26,9,9,9.575757575757576,160,0.36729999999999996,27,91,38,1813,20,4.85,6.536529680365297,2245,55,451,23,0.9048,15,2169,42,843,4.02,0.3226,0.4313,122,2863,261,7,12,12,15,21,10,38,71,0.5,3026,25,66,99,196,0.7105,10,189,1783.67,248,25,5961,1814.67,412,1,25,97,18.12,1,711,453,438,136,10,18,10,13,612,266,40.82,154,31,9.0,71,0.971,1,963,7,0.667,3792,0.97,13,34,28.44,0,0.5379999999999999,42.62,69,2,1,447,16.48
UAB,3,9,0.25,314,35,44,26.2,31,31,34.3,4710,260,-12,837,133.39,9,125.53,411,5.73,63,318,5.63,8,8,6.80503144654088,157,0.3795,31,100,48,1571,18,5.06,7.038116591928251,2322,53,391,24,0.8571,12,2555,56,823,4.02,0.46149999999999997,0.414,137,3139,174,5,16,16,24,16,21,18,42,0.5556,1801,20,181,141,166,0.7955,10,329,1769.83,284,30,4719,1829.58,169,1,24,76,22.88,2,651,549,446,213,12,21,9,32,886,263,43.81,90,26,20.56,98,1.0,0,715,16,0.875,2164,0.9570000000000001,20,23,21.7,1,0.8,42.88,65,0,2,505,8.45
UTSA,7,6,0.5384615384615384,431,50,57,33.2,48,47,30.1,5865,280,1,999,135.5,21,144.88,391,5.56,88,416,5.87,11,11,8.307692307692308,183,0.40740000000000004,19,98,34,2180,33,3.08,7.239685658153242,2975,69,490,27,0.7726999999999999,21,1421,44,877,4.45,0.35710000000000003,0.3115,158,3685,242,11,13,13,32,19,24,28,56,0.3333,2250,15,25,78,216,0.8772,11,88,1861.85,317,15,4877,1737.54,31,0,17,88,18.29,1,492,311,509,247,10,13,8,42,1054,244,43.12,124,28,4.63,113,0.9790000000000001,2,725,15,0.75,3456,0.9520000000000001,18,24,32.8,0,0.833,40.18,57,0,0,461,2.07
Boston College,7,6,0.5384615384615384,366,37,52,28.2,49,47,23.8,4750,251,9,859,148.45,24,127.32,309,5.49,78,441,5.53,17,17,7.244897959183674,176,0.4407,16,115,43,2159,29,3.62,7.851515151515152,2151,49,529,24,0.86,17,1494,50,854,4.08,0.44439999999999996,0.3636,112,2591,271,8,7,7,5,23,3,17,51,0.4828,1864,9,310,86,177,0.7115,14,153,1903.46,207,18,4689,1696.54,37,3,30,83,19.57,0,296,587,330,72,16,22,9,20,560,259,43.9,153,36,6.65,58,0.9590000000000001,0,725,21,0.6,3195,0.968,25,24,16.44,1,0.84,36.55,64,0,0,413,4.11
California,6,7,0.46153846153846156,326,39,47,25.1,29,29,22.3,4942,272,11,908,134.32,17,117.8,290,4.99,72,442,5.44,17,17,6.6945701357466065,186,0.37310000000000004,19,92,28,1580,38,3.27,7.245689655172414,2826,64,444,16,0.8234999999999999,14,1428,34,879,3.56,0.44439999999999996,0.3333,155,3362,250,5,7,7,37,19,25,17,57,0.6315999999999999,2579,19,111,74,193,0.8298000000000001,24,101,1829.69,302,16,4387,1764.85,179,1,14,86,19.0,0,351,266,464,108,12,12,4,24,776,238,44.16,140,27,5.32,96,1.0,1,784,10,0.6759999999999999,2959,0.971,16,25,21.94,0,0.625,45.25,62,0,0,437,9.42
Clemson,10,4,0.7142857142857143,486,45,52,34.7,62,60,23.4,6326,337,16,1006,143.83,23,118.78,328,5.55,87,467,6.29,16,16,6.400428265524625,195,0.43939999999999996,18,139,38,2427,19,4.71,7.315196998123827,3199,73,473,37,0.8085,22,2249,47,944,5.13,0.5714,0.3641,170,3899,263,10,7,7,25,20,18,22,61,0.4211,2473,20,137,118,198,0.8654000000000001,8,170,1830.36,331,17,5238,1769.64,86,2,15,86,19.87,0,320,298,533,52,12,16,3,36,667,287,43.82,133,21,8.5,69,0.968,0,772,14,0.72,2989,1.0,20,28,18.82,0,0.7,40.54,71,0,0,477,4.3
Duke,9,4,0.6923076923076923,342,35,41,26.3,37,35,24.5,4378,229,8,848,131.31,13,121.66,318,5.01,52,424,5.16,13,13,6.544811320754717,201,0.2955,15,60,36,1202,23,3.75,6.80085653104925,3025,70,381,28,0.8181999999999999,24,1945,44,943,3.15,0.36840000000000006,0.3383,141,3176,246,14,13,13,20,27,15,19,77,0.6087,3331,21,211,113,176,0.8537,14,241,1643.69,280,22,4720,1941.38,94,1,35,87,22.31,2,532,781,467,174,7,11,6,29,651,264,43.21,122,19,8.93,67,0.946,1,755,19,0.75,2775,1.0,26,28,24.18,1,0.731,43.26,68,0,0,519,4.48
Florida State,2,10,0.16666666666666666,185,23,27,15.4,15,15,28.0,3243,182,-16,733,104.54,8,138.56,336,5.77,46,326,4.42,4,4,7.4079754601226995,171,0.2875,21,64,41,1079,17,4.65,6.095774647887324,1986,46,378,11,0.8039000000000001,9,2216,51,803,2.85,0.625,0.44439999999999996,103,2164,204,2,13,13,15,15,14,16,57,0.6470999999999999,2771,28,69,116,160,0.8519,11,23,1631.33,179,25,4631,1968.67,164,0,7,57,25.43,3,541,178,355,334,20,22,9,25,575,251,43.17,110,32,1.53,67,1.0,1,526,19,0.9329999999999999,2415,1.0,30,15,21.64,0,0.633,48.61,76,0,0,477,5.86
Georgia Tech,7,6,0.5384615384615384,370,47,53,28.5,45,45,25.6,5519,281,1,903,138.47,29,140.45,333,5.63,69,401,6.11,5,5,7.1546134663341645,161,0.4083,15,126,34,2431,29,4.07,7.495145631067961,2316,52,491,17,0.8718,9,1588,39,791,4.95,0.5714,0.3354,138,3088,253,6,7,7,22,20,15,24,49,0.6207,2119,25,88,91,169,0.8868,18,151,1850.46,269,21,4457,1719.62,216,0,18,56,20.78,1,373,374,412,115,16,14,3,22,563,238,44.54,125,28,7.55,70,1.0,0,524,10,0.682,2869,1.0,18,17,17.76,0,0.556,43.24,54,1,0,390,8.64
Louisville,9,4,0.6923076923076923,474,45,55,36.5,60,60,24.1,5840,276,6,853,148.29,28,137.46,313,5.41,62,422,6.85,10,10,7.274881516587678,187,0.4,15,110,29,2407,32,3.71,8.039812646370024,2574,65,426,26,0.8286,11,1723,35,886,5.65,0.40909999999999996,0.3583,146,3433,263,7,6,6,25,34,18,24,41,0.6563,1653,11,62,105,155,0.8181999999999999,21,191,1790.15,271,32,4793,1808.08,58,1,27,61,17.74,0,648,479,427,56,9,8,5,20,642,250,39.6,125,22,5.62,81,1.0,1,576,10,0.72,3070,0.9740000000000001,16,20,20.25,0,0.625,40.32,67,0,0,464,5.27
Miami (Florida),10,3,0.7692307692307693,571,60,65,43.9,66,66,25.3,6983,351,2,922,169.25,30,124.69,329,5.27,90,416,7.57,14,14,6.699519230769231,164,0.5625,16,134,33,2456,28,3.75,9.257668711656441,2556,57,433,41,0.825,12,1466,40,807,5.67,0.65,0.36590000000000006,194,4527,240,4,8,8,20,17,19,22,25,0.5714,1063,9,220,79,160,0.9231,16,128,1962.92,328,25,4253,1637.08,74,1,25,66,24.96,1,559,624,489,154,13,12,8,33,878,239,44.84,127,20,7.53,86,1.0,0,514,12,0.95,2787,0.976,14,23,22.36,2,0.857,42.52,60,0,0,391,8.22
North Carolina,6,7,0.46153846153846156,402,40,45,30.9,47,46,28.1,5287,273,-2,888,131.73,26,136.04,365,5.63,66,374,5.95,9,9,7.866310160427807,174,0.375,21,125,47,2370,19,3.94,7.441326530612245,2627,62,496,18,0.9216,17,1943,51,867,4.78,0.4815,0.36210000000000003,122,2917,217,6,9,9,22,13,16,19,53,0.5263,2097,19,210,115,176,0.8889,10,187,1779.08,230,33,4885,1820.92,147,3,16,87,20.06,2,865,321,392,231,13,13,8,27,832,253,42.37,111,27,14.38,98,0.9790000000000001,2,772,21,0.727,2942,0.9740000000000001,26,26,26.21,0,0.8079999999999999,39.57,63,1,2,493,7.74
North Carolina State,6,7,0.46153846153846156,371,46,54,28.5,43,42,29.7,4911,262,-3,812,141.26,21,131.24,386,6.0,58,426,6.05,10,10,7.136150234741784,172,0.37420000000000003,25,95,40,1887,22,4.85,7.734015345268542,2018,48,421,21,0.8,18,2041,50,847,4.48,0.55,0.3779,137,3024,261,10,13,13,26,10,19,19,48,0.5455,2068,11,166,100,155,0.8519,12,82,1904.69,255,22,5081,1695.31,113,2,10,80,21.8,2,581,218,391,337,11,19,10,20,621,253,42.04,133,20,8.2,66,0.977,0,717,21,0.731,3040,0.978,27,30,26.41,0,0.778,43.08,65,0,0,421,10.27
Pittsburgh,7,6,0.5384615384615384,428,43,48,32.9,45,45,28.4,5313,301,-2,921,131.44,16,129.59,369,5.15,67,478,5.77,13,13,7.2175732217573225,197,0.3829,18,102,34,1843,34,3.08,6.94,2670,64,421,29,0.7907,12,1466,43,954,4.38,0.5238,0.34009999999999996,158,3470,283,5,16,16,24,25,21,22,58,0.6175999999999999,2534,26,191,89,175,0.8957999999999999,21,225,1584.85,302,35,4916,2014.85,121,4,16,103,23.25,4,713,372,500,364,11,21,4,21,798,265,41.72,155,21,9.0,92,1.0,0,977,17,0.875,3450,0.976,20,41,20.37,0,0.85,43.69,67,0,2,476,4.65
SMU,11,3,0.7857142857142857,511,50,60,36.5,55,55,22.1,6013,319,-2,978,150.08,29,119.58,309,4.67,82,494,6.15,16,16,6.398785425101215,206,0.4457,13,133,33,2347,41,2.9,8.408256880733944,2961,71,542,28,0.7674,23,1403,43,977,4.33,0.5263,0.3301,159,3666,278,6,12,12,33,26,24,24,45,0.4146,1947,15,307,85,184,0.8332999999999999,17,237,1707.79,278,23,4564,1887.14,165,2,35,92,16.83,2,477,589,436,131,10,24,12,35,1088,260,41.7,140,19,9.12,114,1.0,0,817,11,0.727,3161,0.971,18,27,20.74,0,0.611,43.27,68,0,1,483,11.0
