year,conf,WTeamName,WScore,LTeamName,LScore
2024,SEC,Florida,24,Mississippi,17
2024,SEC,Auburn,43,Texas_A&M,41
2024,SEC,Missouri,39,Mississippi_St,20
2024,SEC,LSU,24,Vanderbilt,17
2024,SEC,Oklahoma,24,Alabama,3
2024,SEC,Texas,31,Kentucky,14
2024,SEC,Mississippi,26,Mississippi_St,14
2024,SEC,Alabama,28,Auburn,14
2024,SEC,Missouri,28,Arkansas,21
2024,SEC,Tennessee,36,Vanderbilt,23
2024,SEC,Texas,17,Texas_A&M,7
2024,SEC,LSU,37,Oklahoma,17
2024,SEC,Georgia,22,Texas,19
2024,Big12,Utah,23,Baylor,12
2024,Big12,Kansas_St,31,Arizona,7
2024,Big12,UCF,35,TCU,34
2024,Big12,Cincinnati,34,Houston,0
2024,Big12,Texas_Tech,30,Arizona_St,22
2024,Big12,Colorado,38,Baylor,31
2024,Big12,Utah,22,Oklahoma_St,19
2024,Big12,West_Virginia,32,Kansas,28
2024,Big12,BYU,38,Kansas_St,9
2024,Big12,Texas_Tech,44,Cincinnati,41
2024,Big12,Arizona,23,Utah,10
2024,Big12,Iowa_St,20,Houston,0
2024,Big12,BYU,34,Baylor,28
2024,Big12,TCU,38,Kansas,27
2024,Big12,Kansas_St,42,Oklahoma_St,20
2024,Big12,Colorado,48,UCF,21
2024,Big12,Houston,30,TCU,19
2024,Big12,Texas_Tech,28,Arizona,22
2024,Big12,Arizona_St,35,Kansas,31
2024,Big12,Iowa_St,43,Baylor,21
2024,Big12,West_Virginia,38,Oklahoma_St,14
2024,Big12,Arizona_St,27,Utah,19
2024,Big12,Cincinnati,19,UCF,13
2024,Big12,BYU,41,Arizona,19
2024,Big12,Iowa_St,28,West_Virginia,16
2024,Big12,Kansas_St,31,Colorado,28
2024,Big12,BYU,38,Oklahoma_St,35
2024,Big12,Cincinnati,24,Arizona_St,14
2024,Big12,Colorado,34,Arizona,7
2024,Big12,Iowa_St,38,UCF,35
2024,Big12,Baylor,59,Texas_Tech,35
2024,Big12,TCU,13,Utah,7
2024,Big12,Kansas_St,45,West_Virginia,18
2024,Big12,Kansas,42,Houston,14
2024,Big12,Colorado,34,Cincinnati,23
2024,Big12,West_Virginia,31,Arizona,26
2024,Big12,Baylor,38,Oklahoma_St,28
2024,Big12,TCU,35,Texas_Tech,34
2024,Big12,Houston,17,Utah,14
2024,Big12,Kansas_St,29,Kansas,27
2024,Big12,BYU,37,UCF,24
2024,Big12,UCF,56,Arizona,12
2024,Big12,Arizona_St,42,Oklahoma_St,21
2024,Big12,Texas_Tech,23,Iowa_St,22
2024,Big12,Baylor,37,TCU,34
2024,Big12,Houston,24,Kansas_St,19
2024,Big12,West_Virginia,31,Cincinnati,24
2024,Big12,Arizona_St,35,UCF,31
2024,Big12,Kansas,45,Iowa_St,36
2024,Big12,TCU,38,Oklahoma_St,13
2024,Big12,BYU,22,Utah,21
2024,Big12,Colorado,41,Texas_Tech,27
2024,Big12,Arizona,27,Houston,3
2024,Big12,Iowa_St,34,Cincinnati,17
2024,Big12,Arizona_St,24,Kansas_St,14
2024,Big12,Baylor,49,West_Virginia,35
2024,Big12,Colorado,49,Utah,24
2024,Big12,Kansas,17,BYU,13
2024,Big12,Kansas_St,41,Cincinnati,15
2024,Big12,TCU,49,Arizona,28
2024,Big12,Arizona_St,28,BYU,23
2024,Big12,Iowa_St,31,Utah,28
2024,Big12,Baylor,20,Houston,10
2024,Big12,West_Virginia,31,UCF,21
2024,Big12,Kansas,37,Colorado,21
2024,Big12,Texas_Tech,56,Oklahoma_St,48
2024,Big12,Utah,28,UCF,14
2024,Big12,Colorado,52,Oklahoma_St,0
2024,Big12,TCU,20,Cincinnati,13
2024,Big12,Arizona_St,49,Arizona,7
2024,Big12,Iowa_St,29,Kansas_St,21
2024,Big12,Baylor,45,Kansas,17
2024,Big12,Texas_Tech,52,West_Virginia,15
2024,Big12,BYU,30,Houston,18
2024,Big12,Arizona_St,45,Iowa_St,19
2024,Big12,BYU,36,Colorado,14
2023,ACC,Louisville,39,Georgia_Tech,34
2023,ACC,Duke,28,Clemson,7
2023,ACC,Florida_St,31,Boston_College,29
2023,ACC,NC_State,24,Virginia,21
2023,ACC,Florida_St,31,Clemson,24
2023,ACC,Louisville,56,Boston_College,28
2023,ACC,North_Carolina,41,Pittsburgh,24
2023,ACC,Georgia_Tech,30,Wake_Forest,16
2023,ACC,Louisville,13,NC_State,10
2023,ACC,Boston_College,27,Virginia,24
2023,ACC,Clemson,31,Syracuse,14
2023,ACC,Virginia_Tech,38,Pittsburgh,21
2023,ACC,Clemson,17,Wake_Forest,12
2023,ACC,Florida_St,39,Virginia_Tech,17
2023,ACC,Georgia_Tech,23,Miami_FL,20
2023,ACC,North_Carolina,40,Syracuse,7
2023,ACC,Duke,24,NC_State,3
2023,ACC,Florida_St,41,Syracuse,3
2023,ACC,North_Carolina,41,Miami_FL,31
2023,ACC,Pittsburgh,38,Louisville,21
2023,ACC,Virginia_Tech,30,Wake_Forest,13
